id_prob;grupo;categoria;desc_prob;razoes_prob;solucoes_prob
19;Dinâmica de Grupo;Caroneiros (Free-Riders);Membros da equipe se escoram no trabalho dos colegas, gerando sobrecarga e injustiça.;Ausência crônica de mecanismos transparentes de responsabilização individual dentro das entregas coletivas da equipe.;Instituir rotinas obrigatórias de avaliação confidencial por pares no meio e no final do ciclo do projeto prático.
20;Dinâmica de Grupo;Caroneiros (Free-Riders);Membros da equipe se escoram no trabalho dos colegas, gerando sobrecarga e injustiça.;Falta de clareza nos escopos de entrega, atribuição vaga de tarefas ou falta de estruturação interna dos papéis da equipe.;Exigir o desenho de um termo de abertura de equipe (squad) definindo claramente as metas e a responsabilidade de cada papel.
21;Dinâmica de Grupo;Conflitos Interpessoais;Conflitos e brigas destrutivas paralisam o andamento dos projetos das equipes.;Estilos de trabalho marcadamente incompatíveis ou falhas profundas de comunicação assertiva entre os estudantes.;Fornecer ferramentas de mediação de conflitos e alinhar regras básicas de comunicação profissional na largada do projeto.
22;Habilidades de Aprendizagem;Heterogeneidade da Turma;Disparidade extrema no nível de conhecimento prévio ou maturidade técnica entre os alunos da mesma turma.;Formações de base educacional muito desiguais ou perfis acadêmicos e profissionais excessivamente multidisciplinares.;Disponibilizar trilhas de nivelamento assíncronas no início do curso e instituir programas internos de tutoria entre pares.
23;Habilidades de Aprendizagem;Dificuldades de Escrita;Alunos escrevem relatórios técnicos de forma confusa, superficial ou fora das normas acadêmico-profissionais.;Falta de modelos claros de excelência ou falta de familiaridade com as estruturas textuais específicas exigidas na área.;Fornecer um 'modelo de referência perfeito' anotado e criar sessões rápidas de revisão cega por pares usando rubricas de escrita.
24;Habilidades de Aprendizagem;Raciocínio Quantitativo;Alunos falham em aplicar pensamento analítico, lógico-matemático ou interpretar dados em cenários práticos.;Ansiedade matemática crônica isolada ou falta de conexão dos cálculos puramente abstratos com aplicações práticas do mundo real.;Ancorar os cálculos e modelagens estritamente na resolução de um grande problema prático tangível ou tomada de decisão corporativa.
25;Retenção e Transferência;Esquecimento Pós-Exame;Alunos demonstram domínio do conteúdo para passar na prova, mas esquecem os conceitos semanas depois.;Uso de estratégias de estudo ineficazes baseadas em decoreba de curto prazo nas vésperas da prova.;Substituir grandes exames pontuais isolados por rotinas contínuas de desafios práticos e avaliações de menor peso distribuídas.
26;Retenção e Transferência;Esquecimento Pós-Exame;Alunos demonstram domínio do conteúdo para passar na prova, mas esquecem os conceitos semanas depois.;Falta de conexão e reaplicação continuada dos saberes adquiridos nos módulos em problemas práticos de maior complexidade.;Desenhar um currículo em espiral, onde novos problemas práticos exijam obrigatoriamente o resgate ativo de ferramentas anteriores.
27;Retenção e Transferência;Inabilidade de Transferência;Alunos sabem a teoria, mas não conseguem aplicá-la quando expostos a um ambiente real ou fora da sala de aula.;O aprendizado ficou excessivamente restrito e condicionado ao formato exato e isolado dos exercícios tradicionais de sala de aula.;Expor os estudantes a múltiplos cenários de simulação prática contendo variáveis ambíguas e ruídos típicos da realidade de mercado.
28;Inclusão e Clima da Sala;Exclusão e Silenciamento;Certos perfis de alunos dominam completamente o espaço de fala, enquanto outros se isolam totalmente.;Ausência de dinâmicas estruturadas de facilitação que regulam, distribuem de forma equânime e mediam o tempo de fala de cada um.;Utilizar protocolos rígidos de facilitação (ex: bastão da fala, rodadas rápidas cronometradas onde todos obrigatoriamente expõem).
29;Inclusão e Clima da Sala;Sensibilidade Cultural;Tensões, vieses inconscientes ou comentários insensíveis comprometem o ambiente inclusivo da sala de aula.;Falta de letramento em diversidade ou falta de diretrizes explícitas sobre ética, respeito mútuo e comportamento profissional.;Definir e pactuar de forma transparente diretrizes éticas explícitas de comunicação respeitosa no contrato de convivência pedagógica.
30;Feedback e Desenvolvimento;Ignorar Feedbacks;Alunos repetem exatamente os mesmos erros em entregas subsequentes, ignorando os feedbacks detalhados deixados pelo professor.;Feedbacks fornecidos de forma puramente justificativa no encerramento da entrega, sem conexões claras com a próxima etapa evolutiva.;Vincular o feedback diretamente a uma entrega de refino obrigatória ou exigir um diário de reflexão sobre os ajustes efetuados.
31;Feedback e Desenvolvimento;Ansiedade por Feedback;Alunos paralisam ou demonstram reações defensivas e emocionais desproporcionais ao receber críticas construtivas.;Falta de familiaridade com rotinas de crítica técnica profissional, confundindo erro no artefato técnico com incapacidade pessoal.;Separar a avaliação da identidade do estudante: focar o feedback estritamente em critérios objetivos e ações práticas de correção.
